symbol
NSE:RELIANCE-EQ
NSE:INFY-EQ
NSE:TCS-EQ
NSE:HDFCBANK-EQ
NSE:ICICIBANK-EQ
NSE:SBIN-EQ
NSE:BHARTIARTL-EQ
NSE:ITC-EQ
NSE:HINDUNILVR-EQ
NSE:ASIANPAINT-EQ
NSE:AXISBANK-EQ
NSE:KOTAKBANK-EQ
NSE:BAJFINANCE-EQ
NSE:LT-EQ
NSE:ADANIENT-EQ
NSE:SUNPHARMA-EQ
NSE:MARUTI-EQ
NSE:TITAN-EQ
NSE:ULTRACEMCO-EQ
NSE:DMART-EQ
NSE:NTPC-EQ
NSE:POWERGRID-EQ
NSE:COALINDIA-EQ
NSE:ONGC-EQ
NSE:HCLTECH-EQ
NSE:WIPRO-EQ
NSE:BAJAJFINSV-EQ
NSE:TECHM-EQ
NSE:JSWSTEEL-EQ
NSE:GRASIM-EQ
NSE:PIDILITIND-EQ
NSE:ADANIPORTS-EQ
NSE:DIVISLAB-EQ
NSE:DRREDDY-EQ
NSE:HEROMOTOCO-EQ
NSE:BRITANNIA-EQ
NSE:CIPLA-EQ
NSE:EICHERMOT-EQ
NSE:INDUSINDBK-EQ
NSE:NESTLEIND-EQ
NSE:SBILIFE-EQ
NSE:TATASTEEL-EQ
NSE:BPCL-EQ
NSE:HINDALCO-EQ
NSE:SHREECEM-EQ
NSE:TATAMOTORS-EQ
NSE:APOLLOHOSP-EQ
NSE:BAJAJ-AUTO-EQ
NSE:M&M-EQ
NSE:UPL-EQ
NSE:VEDL-EQ
NSE:GAIL-EQ
NSE:IOC-EQ
NSE:DLF-EQ
NSE:GODREJCP-EQ
NSE:HAVELLS-EQ
NSE:INDIGO-EQ
NSE:LUPIN-EQ
NSE:NAUKRI-EQ
NSE:PGHH-EQ
NSE:SIEMENS-EQ
NSE:TORNTPHARM-EQ
NSE:AMBUJACEM-EQ
NSE:BERGEPAINT-EQ
NSE:COLPAL-EQ
NSE:DABUR-EQ
NSE:MARICO-EQ
NSE:MUTHOOTFIN-EQ
NSE:PEL-EQ
NSE:TVSMOTOR-EQ
NSE:UBL-EQ
NSE:ACC-EQ
NSE:AUROPHARMA-EQ
NSE:BANDHANBNK-EQ
NSE:BOSCHLTD-EQ
NSE:CONCOR-EQ
NSE:HDFCAMC-EQ
NSE:HDFCLIFE-EQ
NSE:ICICIPRULI-EQ
NSE:IGL-EQ
NSE:JINDALSTEL-EQ
NSE:JUBLFOOD-EQ
NSE:LICHSGFIN-EQ
NSE:LTIM-EQ
NSE:MFSL-EQ
NSE:MRF-EQ
NSE:NMDC-EQ
NSE:PFIZER-EQ
NSE:PNB-EQ
NSE:RECLTD-EQ
NSE:SBICARD-EQ
NSE:TATACONSUM-EQ
NSE:TRENT-EQ
NSE:VOLTAS-EQ
NSE:ZEEL-EQ
NSE:ADANIGREEN-EQ
NSE:ADANIPOWER-EQ
NSE:UNITEDSPIRITS-EQ
NSE:ZOMATO-EQ
